Ligand,Conformer,Vshell_0.0,Vshell_0.5,Vshell_1.0,Vshell_1.5,Vshell_2.0,Vshell_2.5,Vshell_3.0,Vshell_3.5,Vshell_4.0,Vshell_4.5,Vshell_5.0,Vshell_5.5,Vshell_6.0,Vshell_6.5,Vshell_7.0,Vshell_7.5,Vshell_8.0,Vshell_8.5,Vshell_9.0,Vshell_9.5,Vshell_10.0,Vshell_10.5,Vshell_11.0,Vshell_11.5,Vshell_12.0
R-DTBM-SEGPHOS_2,CONF_0656,0.0,8.333333333333334,30.82942097026604,35.22019183644892,38.64274555557753,44.046234324250456,47.8901305510685,50.32561891894519,51.72684146308127,50.87413719675544,48.40661576313966,44.10290157674952,40.74149762061515,39.68829488992274,37.318116269174936,32.774408237495216,27.52096467645401,19.75661236393112,11.10709694785512,4.683719718630814,1.2078737300146662,0.0481058870638994,0.0,0.0,0.0
R-DTBM-SEGPHOS_2,CONF_0575,0.0,8.9811542991755,31.45735524256651,35.81968073934048,37.21548774941169,45.28059035524284,48.78783465296719,50.58708605087431,53.19958947444279,52.27208943126131,48.42727810237077,44.96582745164039,41.76345114639072,39.41769106070676,36.43699515084983,32.164074190043955,26.8709152509517,18.61899722025207,11.23345713111054,5.543858040703238,1.1985629579288386,0.044227834675921,0.0,0.0,0.0
R-DTBM-SEGPHOS_2,CONF_0551,0.0,8.87073027090695,31.47104851330204,35.82843240215641,38.51371393541498,46.29534288020644,49.21925341383541,51.55179284804776,53.60862401872713,52.29986006739531,48.6015569867316,45.25824664191272,41.62818853034876,39.90170900745019,36.845462163312106,32.407465654131784,26.73295255089646,18.176952321375868,10.835391854102983,5.246845968485911,1.2409985922430922,0.0502523439670131,0.0,0.0,0.0
R-DTBM-SEGPHOS_2,CONF_0534,0.0,9.1283863368669,31.71361502347418,36.05335013652594,37.544246475113205,46.32680561117149,49.3225291069742,52.006201339411554,54.67792878425291,52.97587389187312,48.73506748637876,44.37250838864404,40.91028592385085,38.93640315781347,36.37540639646106,32.77483232600532,27.01878790401698,18.08482636487385,10.99927941539811,5.606821867246601,1.2412970144253304,0.0717169129981493,0.0,0.0,0.0
R-DTBM-SEGPHOS_2,CONF_0508,0.0,8.01678445229682,30.64358372456964,35.12304837919204,38.750024718701184,43.8568223277336,47.83165179320145,50.28301306039664,51.327747004927794,50.46709621200674,47.96428276252297,43.5369968128412,40.180342790486,39.29408597190502,37.424851163893486,33.117071753655466,28.043955456780488,19.797581707408405,10.902194516582044,4.85731652005961,1.394526857598505,0.0713200890328678,0.0,0.0,0.0
R-DTBM-SEGPHOS_2,CONF_0472,0.0,8.74558303886926,31.41627543035993,35.8433102289435,37.23279084023809,45.16935847809368,48.74215501946349,50.553714161668985,53.12255380692873,52.22096398452695,48.43888080055439,44.94945776225689,41.75533207552172,39.415196365464375,36.44677952119108,32.16276658380448,26.85755700708236,18.663738606778,11.245663352894397,5.53757708495775,1.212986696737012,0.0442458721288884,0.0,0.0,0.0
R-DTBM-SEGPHOS_2,CONF_0417,0.0,9.290341578327444,31.51017214397496,35.543128194356925,36.99203069073939,44.45143616243668,48.25159547705426,49.30923429334214,51.26500021122683,51.31424780827859,48.21993947524016,44.20519569996529,40.63462413672736,39.17692943495623,36.58976936493347,32.12293760456432,27.76793685961977,20.15207115449848,11.202511780109212,5.312322177327469,1.274004085598623,0.0409810931417996,0.0,0.0,0.0
R-DTBM-SEGPHOS_2,CONF_0403,0.0,8.222909305064782,30.637715179968705,35.12042288034727,38.48454586802191,43.76656560456114,47.76280133110893,50.17188142935365,51.62532833347,50.75118098800662,47.91358056087126,43.65079573783253,40.70543127178894,39.17113985920505,36.84688312995918,32.63763969298819,27.806271912956444,19.6230765333768,11.086491273656616,5.327506663322701,1.4493171702574148,0.0325034902471491,0.0,0.0,0.0
R-DTBM-SEGPHOS_2,CONF_0347,0.0,8.91489988221437,31.273474178403752,35.40660225442834,37.05481619173802,44.21530677751718,48.04747151091456,49.57847739945503,51.26624272199318,51.394910221360426,48.36235067486379,44.36376473929462,40.853894281964834,38.50679780918688,35.68587218120816,31.830387214014145,27.480020105710302,20.16242362301156,11.521813770877674,5.830622237756876,1.3989236110834793,0.0173520297545824,0.0,0.0,0.0
R-DTBM-SEGPHOS_2,CONF_0318,0.0,8.95906949352179,31.44757433489828,35.829307568438004,37.21845399355336,45.19033363207037,48.74237569402148,50.5621381337014,53.11248946972126,52.21497808769241,48.43141057021699,44.95721528573984,41.76019247168819,39.41199562439868,36.44503376216754,32.163791464370554,26.86631752980597,18.660682425913773,11.24418976475148,5.535747894337135,1.2126086953061772,0.0444442841115291,0.0,0.0,0.0
