Ligand,Conformer,1C,2C,3C,5Pd,6P,7P
111_cs,CONF_0121,0,0,0,0.09245,0.01443,0.02498
111_cs,CONF_0133,0,0.03076,0,0.88946,0.11258,0.14796
111_cs,CONF_0140,0,0,0,0.08554,0.02034,0.02753
111_cs,CONF_0142,0,0,0,0.02950,0.01958,0.01867
111_cs,CONF_0152,0.08709,0.02404,0.16735,0.32796,0.24272,0.13338
111_cs,CONF_0153,0,0,0,0.03392,0.01554,0.03378
111_cs,CONF_0159,0,0,0,0.02944,0.01935,0.01893
111_cs,CONF_0162,0,0,0,0.09516,0.01847,0.02893
111_cs,CONF_0163,0,0,0,0.03335,0.01832,0.02355
111_cs,CONF_0169,0.01248,0,0.02108,0.88271,0.19464,0.04668
111_cs,CONF_0172,0.16480,0.02870,0.04233,0.30170,0.27875,0.04972
112_cs,CONF_0004,0.01557,0,0,0.04436,0.03971,0.01675
112_cs,CONF_0007,0,0,0,0.03067,0.01866,0.02827
112_cs,CONF_0016,0,0,0,0.13898,0,0.04326
112_cs,CONF_0026,0,0,0,0.15358,0,0.04629
112_cs,CONF_0030,0.03015,0.02706,0.17374,0.32683,0.03168,0.32123
112_cs,CONF_0032,0,0,0,0.03054,0.01875,0.02808
112_cs,CONF_0034,0,0,0,0.09788,0.01479,0.02808
112_cs,CONF_0036,0.10355,0.02901,0.16528,0.25122,0.12871,0.24645
112_cs,CONF_0047,0.02715,0.02562,0.16771,0.33093,0.02635,0.31999
112_cs,CONF_0051,0,0,0,0.06802,0.01813,0.02477
112_cs,CONF_0058,0.17528,0.02473,0.03311,0.28469,0.30267,0.03655
112_cs,CONF_0066,0,0,0,0.12088,0,0.03166
112_cs,CONF_0073,0,0,0,0.03085,0.02339,0.02559
112_cs,CONF_0077,0,0,0,0.09804,0.01472,0.02824
