Ligand,Conformer,Atom1,Atom2,Atom3,Atom4,Atom5,Atom6,Atom7,Atom8,Atom9
108_cs,CONF_0044,-0.30557,-0.22205,-0.30165,0.23981,0.29371,0.88516,0.86320,0.24670,0.24570
108_cs,CONF_0045,-0.29702,-0.22195,-0.31300,0.24151,0.29350,0.86728,0.88608,0.24542,0.24531
108_cs,CONF_0052,-0.29534,-0.21999,-0.32021,0.24165,0.28989,0.88422,0.86661,0.24619,0.24687
108_cs,CONF_0054,-0.28271,-0.22462,-0.33131,0.24184,0.29246,0.88333,0.85335,0.24547,0.24772
108_cs,CONF_0055,-0.30080,-0.22091,-0.31775,0.24026,0.29453,0.86881,0.88641,0.24611,0.24597
108_cs,CONF_0058,-0.30110,-0.22247,-0.31454,0.24182,0.28895,0.86995,0.87796,0.24450,0.24433
108_cs,CONF_0060,-0.28341,-0.22347,-0.33346,0.24176,0.28379,0.89026,0.87845,0.24421,0.24673
108_cs,CONF_0063,-0.30139,-0.21946,-0.31529,0.24139,0.29013,0.88066,0.87435,0.24578,0.24581
108_cs,CONF_0066,-0.29572,-0.22170,-0.32320,0.24065,0.28943,0.88043,0.89042,0.24552,0.24662
108_cs,CONF_0067,-0.29567,-0.22413,-0.31250,0.24232,0.29182,0.85918,0.86173,0.24572,0.24527
108_cs,CONF_0068,-0.29681,-0.22194,-0.31303,0.24149,0.29333,0.86733,0.88576,0.24541,0.24532
108_cs,CONF_0075,-0.29200,-0.22310,-0.31503,0.24156,0.29741,0.85728,0.86157,0.24641,0.24603
108_cs,CONF_0096,-0.30003,-0.22258,-0.30260,0.23955,0.29799,0.86392,0.85866,0.24598,0.24630
108_cs,CONF_0100,-0.29960,-0.22297,-0.30276,0.23981,0.29445,0.86509,0.86055,0.24701,0.24367
108_cs,CONF_0103,-0.28381,-0.22434,-0.32983,0.24207,0.29405,0.86575,0.86740,0.24477,0.24686
108_cs,CONF_0113,-0.29483,-0.22243,-0.31933,0.24182,0.28892,0.86765,0.88131,0.24480,0.24572
108_cs,CONF_0145,-0.30115,-0.22249,-0.31450,0.24186,0.28893,0.86977,0.87805,0.24452,0.24437
108_cs,CONF_0146,-0.29221,-0.22355,-0.31568,0.24148,0.29731,0.86274,0.85760,0.24603,0.24620
108_cs,CONF_0168,-0.28490,-0.22541,-0.32083,0.24201,0.29744,0.87950,0.84680,0.24650,0.24848
108_cs,CONF_0171,-0.28722,-0.22518,-0.32065,0.24181,0.29062,0.86972,0.86495,0.24627,0.24672
108_cs,CONF_0197,-0.28070,-0.22775,-0.32120,0.24339,0.29980,0.86503,0.83829,0.24743,0.24834
